ip,mac,username,password,cpu_serial,device_code
192.168.20.101,00:11:22:33:44:01,zhangsan,abc@123,1000000000000001,6222c9250161da0a02fad4baedac9abd
192.168.20.102,00:11:22:33:44:02,lisi,abc@123,1000000000000002,b5c99301d473a247eac3ea553b9ef740
192.168.20.103,00:11:22:33:44:03,zhaoliu,abc@123,1000000000000003,5de7e210fe62a8d984a18bfa3a4b2e65
192.168.20.104,00:11:22:33:44:04,wangwu,abc@123,1000000000000004,b3abd97d67a1227a72f3ae6951fb2feb
192.168.20.105,00:11:22:33:44:05,zhaoliu,abc@123,1000000000000005,654c69c99585d10d696dbfd02f609106
192.168.20.106,00:11:22:33:44:06,zhaoliu,abc@123,1000000000000006,bd6296104cabe10f820b056723e0d7b6
192.168.20.107,00:11:22:33:44:07,andy,abc@123,1000000000000007,90e5205e2283342232d2383857409c58
192.168.20.108,00:11:22:33:44:08,lxf,abc@123,1000000000000008,bc2505481f0c0cac813f672eac46f4ad
192.168.20.109,00:11:22:33:44:09,zwj,abc@123,1000000000000009,a22611cb9bf70ae6c4c508f871c20c0c
192.168.20.110,00:11:22:33:44:10,zm,abc@123,1000000000000010,b103c15ce245dae9e0c88378b1c94542
192.168.20.111,00:11:22:33:44:11,qf,abc@123,1000000000000011,563b01b464d3dd1f5e5a7fd4b9fbe4f4
192.168.20.112,00:11:22:33:44:12,swk,abc@123,1000000000000012,496bedc1a0e2d84c17f4471eb784441d
192.168.20.113,00:11:22:33:44:13,zbj,abc@123,1000000000000013,af2feab0118ffdfee74d25679f983d65
192.168.20.114,00:11:22:33:44:14,nz,abc@123,1000000000000014,61dfc374098cfe4991eb2a4ee118d29e
192.168.20.115,00:11:22:33:44:15,yg,abc@123,1000000000000015,9a1d5be7f5c575fb2e12c8b8a073381d
192.168.20.116,00:11:22:33:44:16,xln,abc@123,1000000000000016,bbdd9908e951a4450e104644b3601802
192.168.20.117,00:11:22:33:44:17,xz,abc@123,1000000000000017,e17426149f8f2c7a88d778a35f45f52f
192.168.20.118,00:11:22:33:44:18,dy,abc@123,1000000000000018,608c63595bc57a81782da33ef10be4ad
192.168.20.119,00:11:22:33:44:19,lmsj,abc@123,1000000000000019,3ce6d5b82475eb7abca15b7aea695c7d
192.168.20.120,00:11:22:33:44:20,qtds,abc@123,1000000000000020,8eb34d9044e94c0d57737a6091326733
192.168.20.121,00:11:22:33:44:21,zhangsan,abc@123,1000000000000021,1d6c57bc620934bbf9e502d8a48f4b04
192.168.20.122,00:11:22:33:44:22,lisi,abc@123,1000000000000022,6016503d3d3f1c23321d6aad3fc4220c
192.168.20.123,00:11:22:33:44:23,zhaoliu,abc@123,1000000000000023,fcd9e55a1669b34b7648cbf2857b7469
192.168.20.124,00:11:22:33:44:24,wangwu,abc@123,1000000000000024,9fb500035a00e0ba22ebc0b27f28cc63
192.168.20.125,00:11:22:33:44:25,zhaoliu,abc@123,1000000000000025,25c4a2c975568542f212597bbb4c696a
192.168.20.126,00:11:22:33:44:26,zhaoliu,abc@123,1000000000000026,8ca7ec189bc0cfe764f464e584fd0c64
192.168.20.127,00:11:22:33:44:27,andy,abc@123,1000000000000027,8b419b68815a625cb0e99783d8bc62c6
192.168.20.128,00:11:22:33:44:28,lxf,abc@123,1000000000000028,a6eb86741baf9e8e1ecf1118e8a236de
192.168.20.129,00:11:22:33:44:29,zwj,abc@123,1000000000000029,7d2415725c073ae80b883ae8014fd3e6
192.168.20.130,00:11:22:33:44:30,zm,abc@123,1000000000000030,b0a73bc068da8213a8bd6190c0c7797b
192.168.20.131,00:11:22:33:44:31,qf,abc@123,1000000000000031,b946aaf3cb562578fcf3284d0be3c047
192.168.20.132,00:11:22:33:44:32,swk,abc@123,1000000000000032,0c050818fc0faf9c5a0b0e1fd0756a26
192.168.20.133,00:11:22:33:44:33,zbj,abc@123,1000000000000033,cb96e7075e710cb177b7f842e3152fcf
192.168.20.134,00:11:22:33:44:34,nz,abc@123,1000000000000034,c99433c6f445e9ddc5ebe2d3ff8f653d
192.168.20.135,00:11:22:33:44:35,yg,abc@123,1000000000000035,003c9766fc7733b50a14e63e1dc09b79
192.168.20.136,00:11:22:33:44:36,xln,abc@123,1000000000000036,55f40526f19b925bf550e3a71f43530a
192.168.20.137,00:11:22:33:44:37,xz,abc@123,1000000000000037,29eefc1172dc3647c1d5f961dc600cda
192.168.20.138,00:11:22:33:44:38,dy,abc@123,1000000000000038,2fec1ff2c1515f79361eccbd8e96e301
192.168.20.139,00:11:22:33:44:39,lmsj,abc@123,1000000000000039,74d26e0c6134221f8dd96efd281de73a
192.168.20.140,00:11:22:33:44:40,qtds,abc@123,1000000000000040,2ad64b993dbf739925373ec0a1458358
192.168.20.141,00:11:22:33:44:41,zhangsan,abc@123,1000000000000041,a84e1c0716c96a2e27e10f602f0eb8f2
192.168.20.142,00:11:22:33:44:42,lisi,abc@123,1000000000000042,c7a961c8f1aa4985cadb9def40e23f6b
192.168.20.143,00:11:22:33:44:43,zhaoliu,abc@123,1000000000000043,8606f5a257bd36458de61f10bb1fc16c
192.168.20.144,00:11:22:33:44:44,wangwu,abc@123,1000000000000044,513177028722e29400c12f106cf880e8
192.168.20.145,00:11:22:33:44:45,zhaoliu,abc@123,1000000000000045,3e0afdef78a570730419e80688b64d92
192.168.20.146,00:11:22:33:44:46,zhaoliu,abc@123,1000000000000046,f30238293ab4599b49e1d5cc01d81fd3
192.168.20.147,00:11:22:33:44:47,andy,abc@123,1000000000000047,9c0024e68080052f1f0ba3613e82e2f1
192.168.20.148,00:11:22:33:44:48,lxf,abc@123,1000000000000048,a10f5aef9ac3556785e4e773b90df6d2
192.168.20.149,00:11:22:33:44:49,zwj,abc@123,1000000000000049,0bd0a9518ee7e1028d60d5661e361444
192.168.20.150,00:11:22:33:44:50,zm,abc@123,1000000000000050,900c331c1664d81d47548515cb9e8939
